province_id,brand,channel,is_new,model,mid_id,operate_system,user_id,version_code,during_time,page_item,page_item_type,last_page_id,page_id,source_type,date_id,display_time,display_type,display_item,display_item_type,display_order,display_pos_id,dt
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,activity,1,activity_id,1,4,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,9,sku_id,2,4,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,10,sku_id,3,5,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,promotion,29,sku_id,4,5,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,1,sku_id,5,3,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,24,sku_id,6,1,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,6,sku_id,7,1,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,21,sku_id,8,5,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,query,35,sku_id,9,1,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7443,,,,home,,2020-06-14,2020-06-14 10:57:52,promotion,33,sku_id,10,4,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,7,sku_id,1,4,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,10,sku_id,2,3,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,recommend,29,sku_id,3,4,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,promotion,12,sku_id,4,1,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,22,sku_id,5,3,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,23,sku_id,6,2,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,23,sku_id,7,3,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,16,sku_id,8,3,2020-06-14
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:57:53,query,1,sku_id,9,2,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,9288,,,,home,,2020-06-14,2020-06-14 10:57:52,activity,1,activity_id,1,5,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,9288,,,,home,,2020-06-14,2020-06-14 10:57:52,query,28,sku_id,2,1,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,9288,,,,home,,2020-06-14,2020-06-14 10:57:52,promotion,11,sku_id,3,4,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,9288,,,,home,,2020-06-14,2020-06-14 10:57:52,query,7,sku_id,4,2,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,9288,,,,home,,2020-06-14,2020-06-14 10:57:52,promotion,19,sku_id,5,3,2020-06-14
